Book Link	Book Title	Genre
/wiki/The_Happy_Hooker	The Happy Hooker	unknown
/wiki/Jaws_(novel)	Jaws (novel)	Thriller
/wiki/Love_You_Forever	Love You Forever	unknown
/wiki/The_Women%27s_Room	The Women's Room	Feminist fiction
/wiki/What_to_Expect_When_You%27re_Expecting	What to Expect When You're Expecting	Advice (non-fiction)
/wiki/Adventures_of_Huckleberry_Finn	Adventures of Huckleberry Finn	Picaresque novel
/wiki/The_Secret_Diary_of_Adrian_Mole,_Aged_13%C2%BE	The Secret Diary of Adrian Mole, Aged 13¾	Young adult novel
/wiki/Pride_and_Prejudice	Pride and Prejudice	Classic Regency novel
/wiki/The_Kon-Tiki_Expedition:_By_Raft_Across_the_South_Seas	The Kon-Tiki Expedition: By Raft Across the South Seas	unknown
/wiki/The_Good_Soldier_%C5%A0vejk	The Good Soldier Švejk	Satire, black comedy
/wiki/Where_the_Wild_Things_Are	Where the Wild Things Are	Children's picture book
/wiki/The_Power_of_Positive_Thinking	The Power of Positive Thinking	unknown
/wiki/The_Secret_(book)	The Secret (book)	Self-help, Spiritual
/wiki/Fear_of_Flying_(novel)	Fear of Flying (novel)	unknown
/wiki/Dune_(novel)	Dune (novel)	Science fiction
/wiki/Charlie_and_the_Chocolate_Factory	Charlie and the Chocolate Factory	Children's fantasy novel
/wiki/The_Naked_Ape	The Naked Ape	unknown
